Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality
B1000,Warbler,South America,Grassland,Stormy,Feeding,11.906566441337574,-169.37825068830264,30.377646664303114,-21.36687925839209,1753.79,49.5,47.82,5280,285,-2.2,9.1,43,1030.3,1.5,No,45,-64.9,Jan,Apr,3,6,Radio,Yes,264,Low,Excellent,Yes,Storm,Researcher_A,27.0,Failed,No,102,56,Low
B1001,Stork,North America,Grassland,Stormy,Breeding,62.301545854189925,-111.47506945435978,39.92109196071499,47.96343632717577,3263.05,46.1,48.41,3166,896,6.6,59.6,50,1006.6,1.5,Yes,58,-68.0,Apr,Dec,2,3,Radio,Yes,212,High,Good,Yes,Injury,Researcher_C,14.2,Successful,Yes,118,61,Low
B1002,Hawk,South America,Mountain,Stormy,Avoid Predators,87.86116387126651,-78.72732718179907,66.9909803844028,19.44846614106183,2871.65,30.2,57.36,5880,444,31.0,12.3,88,969.6,1.5,Yes,82,-71.9,May,Nov,2,3,GPS,Yes,340,High,Fair,No,Lost Signal,Researcher_B,16.1,Failed,No,41,71,High
B1003,Warbler,South America,Urban,Stormy,Climate Change,35.77058955392532,153.1043405316318,-49.00314464266457,-157.86874351896182,2317.38,58.7,55.38,1120,806,11.0,16.4,19,970.0,17.5,No,86,-70.2,Jan,Nov,8,5,GPS,No,484,Medium,Good,Yes,Lost Signal,Researcher_C,24.4,Successful,No,15,68,Low
B1004,Crane,Europe,Urban,Windy,Avoid Predators,-21.611614380025586,106.67482429343966,11.681051201013176,-115.02286310465428,3077.38,56.9,53.92,7921,676,13.5,31.7,64,972.2,14.2,No,47,-50.5,Oct,Oct,11,3,GPS,No,184,Low,Good,No,N/A,Researcher_B,25.8,Failed,Yes,73,67,Moderate
B1005,Hawk,Europe,Grassland,Stormy,Climate Change,-15.871616543890099,138.29223115055436,18.594213772915495,-175.11606758771504,2987.62,52.9,52.39,4294,380,26.9,1.6,56,966.7,4.8,Yes,82,-79.4,Nov,May,5,8,GPS,Yes,451,High,Good,No,Lost Signal,Researcher_B,18.5,Failed,No,37,63,Moderate
B1006,Hawk,Africa,Urban,Stormy,Feeding,-26.697200446302496,-21.42750701617652,-37.285769195091696,-141.0613777806895,2158.76,56.2,41.32,5485,193,32.2,49.6,20,980.1,13.1,Yes,86,-68.3,Feb,Jun,3,6,Radio,Yes,278,High,Fair,No,Predator,Researcher_B,13.0,Successful,Yes,91,17,Low
B1007,Warbler,North America,Urban,Stormy,Avoid Predators,18.650357965251615,116.12235285951118,87.83093065759181,82.74587751993033,2595.28,67.6,52.28,8161,874,32.1,27.1,77,1023.7,8.1,No,15,-74.1,Mar,Jun,8,6,Satellite,Yes,130,High,Fair,Yes,Injury,Researcher_C,29.3,Failed,No,35,24,Moderate
B1008,Goose,South America,Coastal,Rainy,Climate Change,43.09303872928518,127.25768586482951,51.39682494231954,-178.30398175007423,2446.57,44.9,48.96,8448,240,1.5,21.1,81,1042.8,17.2,Yes,18,-74.3,Apr,May,12,6,Radio,No,385,Low,Good,Yes,Lost Signal,Researcher_A,6.5,Failed,No,69,75,High
B1009,Crane,North America,Urban,Stormy,Breeding,57.50416144600757,-36.01554340500013,-32.17210154903058,-70.41401474120393,2167.5,53.1,55.56,8731,731,-6.7,26.4,84,974.4,4.3,Yes,69,-82.2,May,May,13,0,GPS,Yes,209,High,Fair,No,Predator,Researcher_B,24.2,Successful,Yes,47,24,Low
B1010,Warbler,Asia,Wetland,Clear,Feeding,-15.013240257029068,178.00626518793098,-25.48181597974508,-18.2442944237022,2522.04,37.6,48.37,3548,715,13.4,58.2,61,1008.4,18.9,Yes,14,-75.4,Nov,Apr,9,8,Satellite,No,49,High,Fair,No,Lost Signal,Researcher_B,16.0,Successful,Yes,91,43,High
B1011,Crane,South America,Forest,Stormy,Climate Change,39.00753040662707,126.4459065177129,39.28646679122281,157.61240967556495,2884.1,67.4,35.85,3637,565,21.4,29.6,99,958.4,6.5,No,88,-68.3,Jan,Nov,2,9,GPS,Yes,165,High,Good,Yes,Storm,Researcher_A,24.7,Failed,Yes,76,65,Moderate
B1012,Crane,North America,Grassland,Stormy,Breeding,74.92006656535975,170.67490874812393,-87.93118413119832,-62.277473595630184,2032.75,50.8,52.67,3602,210,24.6,45.2,40,1005.3,2.4,Yes,34,-78.5,May,Jun,9,4,Satellite,No,100,High,Good,No,Lost Signal,Researcher_A,5.5,Successful,No,97,53,High
B1013,Hawk,Africa,Grassland,Windy,Breeding,75.74846300112696,131.93895911225957,-6.472739218593986,101.92707471899058,2911.47,29.9,48.6,7964,334,20.0,0.9,34,1030.2,6.3,No,31,-87.0,Jan,Apr,11,5,Radio,Yes,240,Medium,Excellent,No,Injury,Researcher_A,20.7,Failed,No,61,93,Low
